artist,song
Bon Jovi,Livin' on a Prayer
Def Leppard,Pour Some Sugar on Me
Duran Duran,Hungry Like the Wolf
Michael Jackson,Billie Jean
Prince,When Doves Cry
Daryl Hall & John Oates,I Can't Go for That (No Can Do)
Guns N' Roses,Sweet Child O' Mine
Madonna,Like a Virgin
Run-DMC,Walk This Way
AC/DC,You Shook Me All Night Long
Journey,Don't Stop Believin'
Whitney Houston,How Will I Know
U2,With or Without You
Bangles,Walk Like an Egyptian
Van Halen,Jump
INXS,Need You Tonight
Whitesnake,Here I Go Again
Dexy's Midnight Runners,Come on Eileen
Cyndi Lauper,Time After Time
Rick Springfield,Jessie's Girl
Michael Jackson,Beat It
The Cure,Just Like Heaven
Cyndi Lauper,Girls Just Want to Have Fun
a-ha,Take on Me
Go-Go's,Our Lips Are Sealed
Guns N' Roses,Welcome to the Jungle
Kajagoogoo,Too Shy
Wham!,Wake Me Up Before You Go-Go
Talking Heads,Burning Down the House
Pat Benatar,Love Is a Battlefield
Queen & David Bowie,Under Pressure
Night Ranger,Sister Christian
Soft Cell,Tainted Love
Poison,Every Rose Has It's Thorn
Phil Collins,In the Air Tonight
Tommy Tutone,867-5309 - Jenny
Aerosmith,Janie's Got a Gun
U2,Pride (In the Name of Love)
Modern English,I Melt With You
The B-52's,Love Shack
Motley Crue,Dr. Feelgood
The Clash,London Calling
ABC,The Look of Love
Bananarama,Cruel Summer
Janet Jackson,Nasty
The Police,Every Breath You Take
Twisted Sister,We're Not Gonna Take It
Bruce Springsteen,Born in the U.S.A.
Beastie Boys,Fight for Your Right
Eurythmics,Sweet Dreams (Are Made of This)
Ratt,Round And Round
Dead or Alive,You Spin Me 'Round [Extended Version]
Billy Idol,White Wedding
Salt 'N' Pepa,Push It
A Flock of Seagulls,I Ran
Bonnie Tyler,Total Eclipse of the Heart
Toni Basil,Mickey
Culture Club,Do You Really Want to Hurt Me?
John Mellencamp,Jack And Diane
Young MC,Bust a Move
Styx,Mr. Roboto
Berlin,Take My Breath Away
Devo,Whip It
Paula Abdul,Straight Up
Foreigner,I Want to Know What Love Is
Depeche Mode,Just Can't Get Enough
REO Speedwagon,Keep on Loving You
Public Enemy,Fight the Power
R.E.M.,It's the End of the World as We Know It (And I Feel Fine)
Joan Jett & The Blackhearts,I Love Rock 'N Roll
Rick James,Super Freak
The Fixx,One Thing Leads to Another
Nena,99 Luftballoons
George Michael,Faith
Prince,Little Red Corvette
Thomas Dolby,She Blinded Me With Science
New Edition,Candy Girl
Blondie,Call Me
The Human League,Don't You Want Me?
Rob Base & DJ E-Z Rock,It Takes Two
Cameo,Word Up
Squeeze,Tempted
Prince,Kiss
Lionel Richie,All Night Long (All Night)
Robert Palmer,Addicted to Love
Bow Wow Wow,I Want Candy
Falco,Rock Me Amedeus
Faith Evans,Ain't Nobody
The Pretenders,Brass in Pocket
Tone Loc,Wild Thing
Katrina and the Waves,Walking on Sunshine
New Kids on the Block,You Got It (The Right Stuff)
Gary Numan,Cars
The Rolling Stones,Start Me Up
Debbie Gibson,Only in My Dreams
Men at Work,Down Under
The Romantics,What I Like About You
Bobby Brown,My Perrogative
Wang Chung,Everybody Have Fun Tonight
Loverboy,Working for the Weekend
